,season,episode_number,title,desc
139,11,68,Mezame no toki,"Naruto deduces that Fuuka's secret consists of switching bodies to use each corresponding element and that her hair preserves her youth and body. Naruto damages her hair and it takes a life of its own dispensing the body, but Naruto finally kills it with a Rasengan. Meanwhile, Asuma manages to break free of the electric barrier, catch up with Kitane and defeat him in a short fight. Realizing that Kitane is no more, and that his three other companions were killed, Furido causes the 3 other ninja guardians to disappear. But Furido has a back up plan, Sora."
140,11,69,Zetsubô,"Naruto and Asuma catch up to Sora, only to find him shrouded in ominous chakra and undergoing a change."
141,11,70,Kyômei,"Furido's true form belongs to Kazuma, one of the Guardian Shinobi Twelve who had planned the coup d'Ã©tat. Asuma puts his honor on the line and goes back ten years to battle Furido once more."
142,11,71,Tomo yo,"The struggle between Naruto and Sora continues. Asuma and Kazuma fight. Sai arrives, having sneaked out of hospital, and binds Kazuma with an ink snake. Kazuma breaks out of Sai's jutsu and charges Asuma, but is killed. Naruto eventually reaches Sora, who manages to release the Nine Tails's chakra. Sora then leaves the village to travel the world. Asuma and Shikamaru play shogi and discuss who the king of Konoha is. Elsewhere, two Akatsuki members, Hidan and Kakuzu, appear chasing the Two Tails Jinchuuriki."
143,11,72,Shinobi yoru kyôi,"Work continues in Hidden Leaf Village to erase the scars of battle. As he watches Konohamaru and the others helping with the reconstruction, Iruka sees how his students have matured."
144,11,73,"""Akatuski"" shinkô","With Kakashi's return, Naruto resumes training for his new jutsu. Kakashi explains that the transformation training will enter the next stage. This time, only Wind Chakra will be used to cut through a waterfall. Hidan and Kakuzu, who have captured Two Tails, leave it with Zetsu and head for the Land of Fire in search of Nine Tails. The first place they reach is the Fire Temple, where the priests go into a near panic, and Chiriku confronts the Akatsuki."
145,11,74,Hoshizora no shita de,The lone surviving priest is carried into Hidden Leaf Village where he reports the destruction of the Fire Temple.
146,11,75,Rôsô no inori,"In order to capture the Akatsuki, the Hidden Leaf cast a net that even an ant could not crawl through. Still, the Akatsuki elude them and frustrate Tsunade to no end. Around that time, Asuma and the others arrive at the Fire Temple, only to find it completely destroyed. Chiriku's corpse is missing, and Asuma surmises that the Akatsuki were after the bounty on Chiriku's head. They immediately dispatch a messenger to Hidden Leaf to submit a report and head for the nearest center where the Akatsuki can turn in Chiriku's body for payment. Back at Hidden Leaf, Naruto takes..."
147,11,76,Tsuginaru suteppu,"Naruto is learning the elements of Wind Style Jutsu, and Kakashi lectures him on the difficulties of developing a new jutsu. According to Kakashi even the Fourth Hokage was not able to embed elemental chakra into his jutsu. Naruto feels a heavy sense of responsibility and puts his entire being into developing the new jutsu. Meanwhile, the Akatsuki duo turns in Chiriku's body to collect the bounty. What is the fate of the Hidden Leaf team who are pursuing them...?"
148,11,77,Bôgin,"Asuma and his team finally confront Hidan, and a battle ensues. They fight with all their strength but are shocked at Hidan's power."
149,11,78,Kudasareta sabaki,"Hidan releases a baffling jutsu, and Asuma bears the brunt of the attack. The jutsu is a special trick which links Hidan with Asuma's body."
150,11,79,Todokanu zekkyô,"Hidan's immortality enables him to stay alive even with his head cut off, although he cannot move his body. Kakuzu sews Hidan's head back on with threads that sprout from his body. Izumo and Kotetsu try to attack Kakuzu, but he manages to grab them both by using his body threads, restraining them and suffocating them as well. Hidan, now able to move again, returns to the circle and stabs himself with the blades of his scythe; he finishes it off by stabbing himself in the chest with another spike, fatally wounding Asuma."
151,11,80,Saigo no kotoba,"Asuma is mortally wounded by Hidan's jutsu, and the Akatsuki have the rest of the Hidden Leaf in a bind."
152,11,81,Kanashiki shirase,"In a faraway land, the Akatsuki reveal their true aim of world conquest. And back at Hidden Leaf Village, Shikamaru gives his report of the mission to Tsunade."
153,11,82,Daijûppan,"Asuma's funeral is held in Hidden Leaf Village amid deep sadness. Shikamaru is the lone absentee, unable to get over the loss."
154,11,83,Tâgetto rokkuon,Kakashi and Team 10 set out to stop the Akatsuki. Tsunade considers Naruto's Team 7 to be the ideal back-up for Team 10 and orders Naruto to perfect his new jutsu within 24 hours.
155,11,84,Kakuzu's Abilities,"Shikamaru and Choji deliver the first blows in the battle, but they are thwarted by Kakuzu's power. Kakashi counters Kakuzu's trick and brings him down."
156,11,85,The Terrifying Secret,Shikamaru and his comrades desperately counter the Fire Jutsu offensive. But continuously using his Rasengan and Lightning Blade takes its toll on Kakashi.
157,11,86,Shikamaru's Genius,"Shikamaru battles Hidan alone, deep in the forest, and after depleting his chakra, sustains a deep wound. Hidan draws his blood as he lies near death."
158,11,87,"When You Curse Someone, You Dig Your Own Grave","Naruto and Team Kakashi arrive just in time to assist Team Asuma. Sakura and Sai are ordered by Kakashi to aid Shikamaru, who is battling alone."
159,11,88,Wind Element: Rasen Shuriken!,"Ino and Choji are amazed at Naruto's new jutsu, and Kakuzu senses the danger that it poses. But when released, the new jutsu dissipates before it reaches Kakuzu."
160,11,89,The Price of Power,Naruto's uses his new jutsu to bring Kakuzu down. Tsunade welcomes the teams back home and orders Team Asuma and Team Yamato to take a break.
161,11,90,A Shinobi's Decision,"Just when peace has finally settled over the village word comes that Orochimaru's hideout has been found. Tsunade orders Kakashi, Hinata, Shino, and Kiba on a search mission to find the hideout."
162,11,91,Discovery: Orochimaru's Hideout,"Naruto and Jiraiya arrive at the hot springs resort. As an alternative to the Wind Style: Rasen Shuriken, Jiraiya suggests to Naruto the collaboration ninjutsu with a ninja toad."
163,11,92,Deai,"Inside Orochimaru's hideout Guren witnesses Sasuke defeating a thousand opponents. Meanwhile, Kabuto and Yukimaru conduct their experiment to summon the Three-Tailed Beast."
164,11,93,Kayoiau kokoro,"Believing Naruto's new jutsu is almost completed, Jiraiya heads off to investigate new information on the Akatsuki's movements. His arm now healed, Naruto returns to the village to continue his training."
165,11,94,Ame hito yo,"Staying behind at the hideout, Rinji and Gozu become aware of a shinobi following their tracks. At the same time, Kakashi and his team notice that the enemy is using a bat for surveillance."
166,11,95,Futatsu no omamori,"At the Leaf Village Naruto is busy training with Gamakichi and Gamatatsu. But when he learns that Kakashi and the others are out on a mission to locate Orochimaru's hideout, Naruto rushes to ask Tsunade if he can join the mission."
167,11,96,Miezaru teki,Team Yamato heads out to provide backup for Team Kakashi. Right before his departure Naruto gets a hint to perfect his new jutsu by entering Gamatatsu's belly.
168,11,97,Ran hansha no meikyû,"From the results of the analysis of the crystallized Parasitic insects, the enemies currently fighting Kakashi's team are identified as users of the Crystal Style, a rare type of jutsu. Still unclear on what Orochimaru's objective is, Tsunade cannot hide her irritation and anxiety."
169,11,98,Arawareta hyôteki,"Shattering the force field with his newly mastered collaboration jutsu with the toads, Naruto and the reinforcement unit arrive at the battle site. But Naruto's new jutsu is repulsed by Guren's ability to crystallize fluids."
170,11,193,Nida shinda otoko,"On his way home Naruto comes across a rock pasted with a peculiar talisman, which he tears off without thinking. That night, Naruto is surprised to find an amnesic ghost standing near his bed."
171,11,194,Saiaku no nininsankyaku,Team 7 is after a group of thieves who have stolen the precious Golden Statue from the Feudal Lord's sister.
172,11,195,"Renkei, daijûppan",Team 7 and Team 10 are assigned to help a village that is troubled by bandits.
173,11,196,Yami e no shissô,Sasuke remembers meeting a young girl named Naho.
174,11,197,Rokudaime Hokage Danzô,Naruto wants to help Karui and Omoi find their master but refuses to tell them what he knows about Sasuke.
175,11,198,Gokage kaidan zen'ya,"Karui and Omoi of the Hidden Cloud press Naruto to give information regarding Sasuke. Naruto realizes they're motivated by wanting to save their captured master, but decides he cannot sell out his friend. Instead, Naruto offers himself as a punching bag for Karui and Omoi to abuse to their hearts' content."
176,11,199,Gokage tojô!,Kage from each nation set out to attend the Five Kage Summit.
177,11,200,Naruto no tangan,"To prevent the cycle of hatred bound to occur should Sasuke be killed, Naruto goes to the Raikage and begs him to forgive Sasuke, but the Raikage quickly dismisses the request."
178,11,201,Kujû no ketsudan,"Mifune calls for the formation of the Allied Shinobi Forces to counter the Akatsuki and proposes the Hokage to lead them. Meanwhile, Sai reveals Naruto's actions to Sakura."
179,11,202,Hashiru ikazuchi,"Madara, who has taken an interest in Naruto, makes a sudden appearance before Naruto and reveals the truth behind Itachi's actions. Meanwhile, the samurai learn of Sasuke and his team Taka's entry into the Land of Iron, and battle ensues between the two groups."
180,11,203,Sasuke no nindô,"The truth behind Itachi's actions leaves Naruto, Kakashi, and Yamato in shock. Meanwhile in the Land of Iron, Sasuke and the Raikage are fighting a battle to the death when Gaara, the Kazekage, intervenes."
181,11,204,Gokage no chikara,"Having blocked the combined attacks of Gaara, Temari, Kankuro, and Darui with his Susano'o, Sasuke goes after Danzo."
182,11,205,Sensen fukoku,Madara reveals the origin of the tailed beasts; the TEN TAILS.
183,11,206,Sakura no omoi,"The Kage respond to Madara's declaration of war by forming the Allied Shinobi Forces, with the Raikage as their leader. Meanwhile, Sakura arrives in the Land of Iron to speak with Naruto, but her confession surprises him. Elsewhere, Kisame appears before Killer Bee and his master as an unwelcome guest."
184,11,207,Bijû VS o no nai Bijû,"Killer Bee engages in a deadly battle against Kisame, who has come to capture the Eight Tails."
185,11,208,Tomo to shite,"As Sai rats out on Sakura, Naruto hyperventilates. Meanwhile, Madara and Sasuke make their assault on Danzo and his bodyguards."
186,11,209,Danzô no migiude,"Kakashi races to stop Sakura from fighting Sasuke herself leading Narutoto over think the situation and pass out. Meanwhile, Sasuke battles Danzo, but there's something strange about his opponent."
187,11,210,Kinjirareta dôjutsu,"Danzo's uncanny jutsu prevents Sasuke from landing a clean hit on his enemy. As Karin attempts to analyze Danzo's jutsu, Madara recognizes it as Izanagi."
188,11,211,Shimura Danzô,"Danzo believes he's won the battle against Sasuke. Little does he realize, Sasuke placed him under genjutsu before they last exchanged blows. Not knowing his Izanagi has already expired, Danzo finds himself severely wounded and beginning to lose control over the First Hokage's cells inside of him. Still determined to survive and achieve his goal, Danzo decides to take Karin as a hostage."
189,11,212,Sakura no kakugo,"Having tracked down Sasuke's whereabouts with Kiba's nose, Sakura attempts to put her allies to sleep and carry out the task of killing Sasuke herself. As Sakura heads toward Sasuke, she begins to recollect her fond memories of Team 7."
190,11,213,Ushinawareta kizuna,Memories from his childhood course through Naruto's mind as he rests to recover from his hyperventilation.
191,11,214,Seoubeki omoni,"Sakura tells Sasuke that she wishes to desert the village and join him. A skeptical Sasuke tells Sakura he will believe her if she can finish off Karin. When Sakura hesitates to do so, Sasuke attacks her with Chidori but is stopped by Kakashi, who has arrived in the nick of time."
192,11,215,Shukumei no futari,"Naruto reproaches Sasuke for attempting to kill Sakura. Then Sasuke reveals that he killed Danzo with his own hands. He goes on to declare his intent to purify the Uchiha Clan's name by annihilating the Hidden Leaf, whom he holds responsible for dishonoring the Uchiha Clan. Naruto, ignoring Kakashi's order to leave with Sakura, charges toward Sasuke with his Rasengan."
193,11,216,Ichiryû no shinobi,"After White Zetsu prevents Naruto from defeating Sasuke, Naruto throws his goal of becoming Hokage away and refuses to kill Sasuke just to end his life as a renegade."
194,11,217,Sen'nyûsha,"Killer Bee returns to the Hidden Cloud Village to the delight of Omoi and Karui. He has brought Kisame's sword, Samehada, with him. Bee believes the sword has taken a liking to him but is unaware that this is all just part of the Akatsuki's plan. Meanwhile, Sai informs the Leaf Shinobi of Danzo's fate."
195,11,218,Ugokidasu taikoku,The formation of the Allied Shinobi Forces is ratified by the Feudal Lords of the Five Great Nations. Each Kage returns to their village to prepare for the coming war.
196,11,219,Hokage Hatake Kakashi,The Elder declares Kakashi Hatake as the 6th Hokage.
197,11,220,Ôgama sen'nin no yogen,"Naruto is summoned to Mt. Myoboku to face the Great Elder. Meanwhile, Tsunade calls a meeting to discuss the inevitable war with the Akatsuki."
198,11,221,Kurairi,Anko and a group on Leaf ninja discover Madara's location. At the same time Kabuto requests partnership with Madara in the upcoming war. Madara is unable to say no. Meanwhile Naruto continues to remain in Mt. Myobuko.
199,11,222,Gokage no ketsudan,"The five Kage make the decision to keep Bee and Naruto out of the war. Meanwhile, Naruto and Yamato are taken to a remote island for training."
200,11,223,Seinen to umi,"Naruto, Yamato, Might Guy and Aoba are ready to depart for the remote island. When suddenly, Aoba and Guy are attacked by a giant marlin."
201,11,224,Benisu no shônin,"Guy becomes extremely seasick resulting in a stop at a nearby island. Naruto finds Sakura, Ino and Choji who are on their own special mission."
202,11,225,Norowareta no yûreisen,Naruto and the crew encounter a ghost ship. After boarding Naruto comes into contact with a boy called Hishaku who's shipmates were killed by a giant sea creature.
203,11,226,Senkan no shima,"Naruto's ship gets caught in a unique storm. The storm is the work of a group of savage pirates. After barely escaping their clutches, the crew wash up on an island which seems to have a devastating history."
204,11,227,Bôkyaku no shima,"Naruto's ship is caught in another storm, when suddenly Guy is taken by a giant bird to a nearby island. After investigating the island Naruto finds that everything is a little bigger than normal."
205,11,228,Tatakae Rokku Rî!,Guy remembers a terrible incident that may ruin Rock Lee's view of him. He continues training Rock Lee but the training all seems to relate to the terrible incident.
206,11,229,Kuu ka kuwaweru ka! Odoru kinoko jigoku,Naruto's ship stops at a port to resupply. With no food everyone is starving. All seems fixed when Naruto purchases some Mushrooms. But that was only the start of a sudden flow of problems.
207,11,230,Kage no gyakushû,"Naruto's ship is caught in another storm. This time Naruto uses his shadow clones to defend the ship from harm. After the storm, Naruto becomes his own worst enemy and his shadow clones turn on him."
208,11,231,Tozasareta kôro,Naruto's ship is caught in an obstacle field of reefs and a whirlpools. Shikamaru is along for the ride and the situation helps teach him a lesson.
209,11,232,Konoha no joshikai,"Tenten gets all the girls together to reminisce. Kiba also holds a get together for the boys to reminisce. meanwhile, Tsunade meets with the Fuedal Lord."
210,11,233,"Sanjô, nise? Naruto",Naruto's reputation is on the line as he is faced with a law breaking impostor claiming to be him.
211,11,234,Naruto no manadeshi,"Konohamaru seeking to prove himself as a powerful ninja, challenges Temari to a battle. Things heat up as Temari taunts Konohamaru."
212,11,235,Nadeshiko no Kunoichi,Kokuyo craves leadership of a village through Shizuka's hand in marriage. Shizuka rejects his offers many times. Naruto then is forced into a battle for Shizuka's hand in marriage.
213,11,236,Nakama no senaka,"Shino begins to reminisce about a mission he once took part in with Naruto, in which he learns the true meaning of friends and teammates."
214,11,237,"Aa, Akogare no Tsunade-Sama","Tenten reminisces about the time when she craved to be like Lady Tsunade, only finding out that all her characteristics didn't align with Tsunade's."
215,11,238,Sai no kyûsoku,"Sai is given the day off. He reminisces on his bonds with his friends, and ends up using his artistic skills to display his feeling of the the bond."
216,11,239,Densetsu no Ino-Shika-Chô,"Shikamaru, Ino and Choji reminisce on their time with Kosuke Maruboshi, and their time creating the Ino-Shika-Cho technique."
217,11,240,Kiba no ketsui,Kiba is upset at the overbearing success of Naruto and seeks out Kakashi to help him train. Kakashi summons his dogs to spar with Kiba and Akamaru. The pair retreat to a spot that Kiba knows very well.
218,11,241,"Kakashi, waga eien no raibaru yo",Guy is extremely sea sick and accidentally sends an SOS turtle to get Kakashi's help.
219,11,242,Naruto no chikai,"During a stop for supplies, Naruto meets Akatsuchi and Kurotsuchi of the Hidden Stone. They are on an important mission to deliver a letter from the Tsuchikage to the Mizukage."
220,12,99,Arekurû Bijû,"The Leaf ninja use The Bat to pursue Guren. Akamaru and Kiba detect a high level of chakra present at their destination. Convinced something abnormal is about to happen, Kakashi sends Naruto to the lake right before entering battle with the enemy."
221,12,100,Kiri no naka de,"Inside the heavy mist, the Leaf ninja manage to rendezvous with Naruto. The team tightens their guard when they learn that the mist surrounding the lake causes illusions. The team discovers that the enemy is after the Three-Tailed Beast, and faced with this unexpected development, Kakashi decides to ask for Tsunade's guidance."
222,12,101,Sorezore no omoi,"Naruto enters the mist to seek out Yukimaru. Guren stays alert to protect Yukimaru, whose current situation prevents him from moving. When both sides meet, their emotion over Yukimaru sparks."
223,12,102,Saihensei,Reinforcements arrive from the Leaf Village. The new mission from Tsunade: seal the Three-Tailed Beast so it won't fall into anyone else's hands and take Yukimaru whose powers are tied to the Tailed Beast into custody.
224,12,103,Kekkai shihô fûjin,"The Leaf ninja wish to seal the Three-Tailed Beast, and Guren's team wishes to stop them at any cost. Shizune's sealing team begins their search as they activate the The Four-Corner Sealing Barrier to trap the Three-Tailed Beast..."
225,12,104,Shôton kuzushi,"To protect the The Four-Corner Sealing Barrier necessary to seal the Three-Tailed Beast, Kakashi and Naruto wage their deadly battle against Guren. Sai fights a one-on-one battle with Gozu..."
226,12,243,Jôriku! Rakuen no shima?,Naruto finally arrives to the island and meet Killer B.
227,12,244,Kirâ Bî to Motoi,Motoi tells Naruto and Yamato a story about him and Killer B.
228,12,245,Saranaru shiren! Naruto VS Kyûbi!!,"Naruto will face the Kyûbi with the guidance of Killer B, but first he needs to face his own inner hatred."
229,12,246,Orenji-iro no kagayaki,Naruto continues his fight against the Nine-Tails and makes an unexpected encounter.
230,12,247,Nerawareta Kyûbi,"With the help of his mother, Naruto fights the Nine-Tails. Then, Kushina start telling the story of the day her son was born."
231,12,248,Yondaime no shitô!!,The story of the day Naruto was born continues: the mysterious masked ninja makes his move and chaos ensues at Konoha Village.
232,12,249,Arigatô,The story of the day Naruto was born comes to an end: the situation at Konoha is critical and Minato is willing to do anything to save his newborn son and the village.
233,12,250,Chinjû VS Kaijin! Rakuen no tatakai!,"Guy arrives at the Waterfall of Truth to help Naruto with his training. Instead he encounters Kisame, who has infiltrated the island to locate Naruto and Killer Bee. Guy tries to prevent Kisame from delivering intel to the Akatsuki, and a battle ensues between the two."
234,12,251,Kisame to iu otoko,Kisame's escape is prevented thanks to Guy's efforts. Aoba enters Kisame's mind to gather intel on the Akatsuki. In the process he learns about the ex-Hidden Mist ninja's bloody past.
235,12,252,Shi e izanu tenshi,"Madara appears in the Hidden Rain Village seeking the corpse of Nagato and his Rinnegan. Anticipating his arrival, Konan engages in battle to protect her beloved friends and to stop Madara's plot to bring chaos into the world."
236,12,253,Heiwa e no kakehashi,Konan fights Tobi (Madara).
237,12,254,Do S-kyû gokuhi ninmu,"The Leaf and Cloud ninja prepare to relocate Naruto and Bee, as the Akatsuki may already have knowledge of their location. Aoba assigns Naruto an S-rank mission to distract him from learning about their true mission: keeping the two Jinchuriki hidden from the enemy."
238,12,255,Geijutsuka futatabi,"Kabuto and a reanimated Deidara attempt to grab hold of the jinchuriki, but are stopped by the Tsuchikage, who has come to protect Naruto."
239,12,256,Shûketsu! Shinobi rengô-gun!,"The Tsuchikage and his team manage to safeguard the Jinchuriki, but at the cost of losing Yamato to the enemy. Meanwhile, both the Allied Shinobi Forces and the Akatsuki complete their final preparations for battle. The Fourth Great Ninja War is about to begin."
240,12,257,Deai,A look back into the early years when Naruto and Sasuke first met and got to know each other.
241,12,258,Raibaru,"During the Chunin Exam, Sasuke witnesses Naruto's growth as a shinobi and comes to acknowledge his teammate as a rival that he doesn't want to lose to."
242,12,259,Kiretsu,"Sasuke's defeat to Gaara, and later Itachi, forces him to realize that he is not strong enough to get revenge against his older brother. To make matters worse, his jealousy of Naruto's growth deepens Sasuke's thirst for power."
243,12,260,Ribetsu,Naruto and Sasuke clash in battle.
244,12,261,Tomo no tame ni,"The Allied Shinobi Forces are on standby, ready to confront Madara's army of reanimated shinobi and 100,000 White Zetsu. But distrust still exists among the Allied Shinobi Forces, who were once sworn enemies until recently."
245,12,262,Kaisen!,Kankuro's commando unit enters enemy territory to set up a stronghold for the Allied Shinobi Forces. They are immediately ambushed by the Akatsuki's own commando unit comprised of the reanimated Deidara and Sasori. The Fourth Great Ninja War has officially begun.
246,12,263,Sai to Shin,"The Allied Shinobi Forces' commando unit engages with the Akatsuki in the first wave of battle. During the fight, Sai is reunited with his brother Shin who has been reanimated and is now under the Akatsuki's control."
247,12,264,Edo Tensei no himitsu,"Under the guidance of Killer Bee, Naruto enters the final stage of training to master the Tailed Beast Bomb, a Jinchuriki's most powerful technique. Meanwhile, Kabuto agrees to divulge the secret behind the Reanimation Jutsu to Madara as a token of trust."
248,12,265,Shukuteki to no saikai,"The commando unit is in hot water as they engage the reanimated Kekkei Genkai shinobi, which include Zabuza Momochi and Haku. Luckily, Kakashi and his unit arrive in time to assist them. Realizing they no longer have control over their bodies, Haku and Zabuza implore Kakashi to stop them at all costs."
249,12,266,"Saisho no teki, saigo no teki","Kakashi and his unit devise a strategy to take on the Kekkei Genkai shinobi, but it's foiled by Kabuto, who uses the Reanimation Jutsu to summon the most powerful members of the Seven Ninja Swordsmen of the Mist. As the battle intensifies, Kakashi is determined to bring an end to this meaningless war and free the souls of Zabuza and Haku."
250,12,267,Konoha no tensai gunshi,"The Akatsuki dispatch an army of powerful reanimated shinobi and White Zetsu across the war zone, causing chaos within the Allied Shinobi Forces' chain of command. Taking the matter seriously, the Raikage plans to join the battle but is halted by Shikaku Nara, who quickly devises a strategy to deal with the situation."
251,12,268,Sorezore no gekisen!!,"The Feudal Lords gather at a fortified palace, and Black Zetsu arrives at the outside. Black Zetsu infiltrates the fortress but the Lords were fake and forces himself to escape from the premises and maintains his surveillance on the ground. Meanwhile at the coastline, White Zetsus and the undead ninjas start their assault. Hyuga Hizashi confronts his brother Hiashi and reiterates that his death is for the sake of the entire Hyuga clan. At the desert, orders from headquarters telling Shikamaru to assist Darui's division and Temari becomes worried as they're facing a ..."
252,12,269,NG wâdo,"Atsui, Samui, and Darui face off against Kinkaku and Ginkaku, the legendary brothers from the Hidden Cloud, feared even by the Raikage."
253,12,270,Konjiki no kizuna,"Darui manages to seal away Ginkaku. Fueled by the rage of losing his brother, Kinkaku transforms into a monster that resembles a jinchuriki's Tailed Beast State."
254,12,271,ROAD to SAKURA,Sakura falls from a great height and gets amnesia. Ino tries to help her remember.
255,12,272,Mifune VS Hanzô,"As the Surprise Attack Division attempt to retreat the the rendezvous point, they are chased by Akatsuki's reinforcements. Summoning his salamander Ibuse, Hanzou orders it to attack. Unleashing a paralyzing mist of poison, the division is rendered paralyzed and left at Hanzou's mercy. However Mifune and his division soon arrive and he deflects the would-be devastating blow. Conversing about the past and the paths they had chosen to walk, as the two trade blows, Mifune is able to break Hanzou's sickle and respirator. Finally remembering his encounter with Mifune in ..."
256,12,273,Hontô no yasashisa,"Izumo and Kotetsu arrive and manage to bind Kakuzu. As they ask Ino-Shika-Cho to help seal the constrained Kakuzu, Shikaku interferes and tells them to handle Kakuzu with Darui whilst Ino-Shika-Cho confront their sensei Asuma Sarotobi. They recall their previous spar with Asuma when they're genin and Asuma lecturing Choji about his kindness. Shikamaru also recollects his past in protecting his comrades and Ino thinking about Asuma's last words which she should must guide Shikamaru and Choji. Other ninjas try to subdue Asuma but they were failed and the Ino-Shika-Cho ..."
257,12,274,Kanpeki na Ino-Shika-Chô,Choji is unable to attack Asuma and loses his will to fight. Ino and Shikamaru try to snap Choji out of his paralysis.
258,12,275,Kokoro no naka no tegami,"Naruto leaves his training hall but being blocked by shinobi guards. Aburame Shibi insists Naruto to go back but Iruka arrives and attempts to fool Naruto. However, Naruto didn't believe on Iruka and using his Sage Mode he manages to leave the cave. Naruto was restrained via a shadow jutsu and Iruka continues to convince Naruto. Iruka gives Naruto's headband which he is about to restrain Naruto, but Naruto overpowers the group and leaves. On his headband, Naruto reads the letter from Iruka telling that he should come back alive. Iruka asks Bee a favor to protect him. ..."
259,12,276,Gedô mazô no shûrai,"With Kakashi's return, Naruto resumes training for his new jutsu. Kakashi explains that the transformation training will enter the next stage."
260,12,277,Wakai no In,"Naruto and Nine Tails engage in a heated conversation. Nine Tails continues to berate Naruto about hatred and Sasuke's hatred. They recall Naruto's first spar with Sasuke which Naruto didn't do anything but to continue raise Sasuke's anger in Nine Tails' opinion. Naruto fully confronts Nine Tails telling him that he will manage to do something about the ensuing war, Sasuke's hatred and even Nine Tails' hatred."
261,12,278,Nerawareta iryô ninja,"As night falls in the Ninja War, Madara's next phase with White Zetsu begins. Over at the Medical Unit camp, Sakura and the other medic ninja work nonstop to treat the wounded. Neji is there to recover from overusing his Byakugan."
262,12,279,Shiro Zetsu no torappu,"Kiba, Hinata and Shino get trapped in a cave that seems to act like a hole in the barrier. What really awaits them is white zestu's sinister plan to take them down and further infiltrate the camp."
263,12,280,Geijutsu ka no bigaku,"Back at the Fifth Company's camp, Kurotsuchi attempts to negotiate with the captive Deidara to find out Kabuto's location, but is quickly rebuffed. When Deidara learns that Sasuke survived his ultimate art explosion, he plans an escape with help from a White Zetsu."
264,12,281,Kâ-chan rengô-gun!!,"Konohamaru participates in a meeting organized by Ebisu in Konoha of the remaining villagers, mostly including the children and wives. Ebisu attempts to rally everyone's' spirits together in the event that rogue ninja should attack the village while their shinobi families are away at war, but the mothers scoff and claim that they will protect the village as they always have while their husbands fought. Suddenly Konohamaru is approached by several children, each claiming to have seen terrifying rogue ninja roaming the east and west forests outside Konoha. He tries to ..."
265,12,282,Hiwa: Saikyô taggu!!,"Tsunade and the Raikage arrive to prevent Naruto and Killer Bee from joining the battle. But the two Kage fail to convince the Jinchuriki to turn back, forcing the Raikage to use extreme force."
266,12,283,Futatsu no taiyô!!,Fourth Raikage Ay attacks Naruto in an attempt to prevent the Jinchuriki from falling into Madara's hands. Ay is unwilling to listen to either Tsunade or Killer Bee's pleas to change his mind.
267,12,284,Kabuto wari! Akebino jinin,"During the night, Kakashi tells his squad to take a rest but maintain their awareness. Two shinobi arrive from HQ bringing an enormous item to Kakashi and then he hands it over to Sai, with Lee assigned to be his bodyguard, to aid in sealing the reanimated ninja. Sai becomes stressful as he recalls a seal variation of his Super Beast Scroll ability that requires emotional energy that can be harmful if not in a controlled state of mind. At dawn, the reanimated ninja sprawl out and resume killing Allied ninja on the field. Among the enemies is Akebino Jinin who is being..."
268,12,285,Shakuton tsukai! Sunagakure no Pakura,"In a flashback, the Hidden Sand Village celebrates Pakura for her victory against the Hidden Stone village. Maki, Pakura's student, wants to train with her despite being tired from the previous skirmish and Pakura praises Maki for her fighting prowess. After their sparring match, Pakura advises Maki to be strong so she can protect her loved ones and the village. Meanwhile, in a meeting of Hidden Sand officials they stress about a truce with the Hidden Mist village despite it is against in their favor and suggest Pakura to solve the issue. However, as Maki was told, ..."
269,12,286,Torimodosenai mono,Tsunade takes the third Raikage one-on-one at Skandenberg.
270,12,287,Kakeru ni ataisuru mono,"As she listens on to the events of A and his followers ambushed by a ninja group known as the Nokizaru, Tsunade realizes the nature of the insect as a bomb with another inside A. After explaining this and having A make a promise to her, Tsunade catches and destroys a bug which had been hovering near A for some time - unbeknownst to them that the Nokizaru had been using it as a method to spy on them. Preparing to operate, Tsunade has Shizune lead the surgery while she oversaw it. Though A initially protested, believing that Tsunade should perform the surgery, the ..."
271,12,288,"Kyôi, Jinpachi - Kushimaru konbi!!",Kakashi races to the scene where the Seven Ninja Swordsmen Kushimaru Kuriarare and Jinpachi Munashi were last sighted.
272,12,289,Raiken!! Ringo Ameyuri,"As Guy and Kakashi prepare to regroup their forces, they receive word that one of the units were engaged in battle with Ameyuri Ringo and decide to head to that location. Elsewhere, Ameyuri merciless attacks the members of Yurui's unit. With Yurui dead and only a handful of members left, the new leader of the team Nurui decides that they should escape as they were no match for one of the Seven Ninja Swordsmen of the Mist. As they flee, Omoi who believes that they should stand and fight, gets into an argument with Nurui and Kayui tries to quell the argument, but, Omoi ..."
273,12,290,"""Chikara"" Episode 1","Taking place in the aftermath of the Kage Summit, Team Kakashi is sent out on a mission by Tsunade to a location known as ""The Hole"" to investigate an incident where its people were killed. Regretting that she could not assign more people to the mission because of recent incidents elsewhere, the team sets out nonetheless. While there, they split up into two teams, with Yamato and Sai encountering officers from the neighboring Hachou Village where Shiseru and her team, after learning they are from Konoha shinobi, escort them to their village leader Disonasu. Elsewhere,..."
274,12,291,"""Chikara"" Episode 2","While investigating the village near Tonika, Kabuto confronts Naruto. An epic battle erupts as Kabuto uses the forbidden Reanimation Jutsu against Naruto. In the meantime, Dokku and the five survivors lie low at the village where Mina learns a particular melody that she keeps playing on the xylophone. Naruto manages to get to know Dokku and the children despite an initial misunderstanding. As they talk, he learns about the legend surrounding the Hole and the Mystic Power."
